"sample","stromal","immune","estimate","purity","type","sam","cancer_type"
"C3L-01687_r",446.575182001288,102.049717249543,548.624899250831,0.774090602632151,"r","C3L-01687","PAAD"
"C3L-00589_r",-634.659248821932,-805.249136594642,-1439.90838541657,0.923524667255963,"r","C3L-00589","PAAD"
"C3L-00599_r",-204.435880164912,-967.742077931865,-1172.17795809678,0.907742484546951,"r","C3L-00599","PAAD"
"C3L-01054_r",-305.76513670272,-71.9928309723074,-377.757967675028,0.852766584164112,"r","C3L-01054","PAAD"
"C3L-03356_r",267.443034912121,2061.34011664757,2328.78315155969,0.584262297425572,"r","C3L-03356","PAAD"
"C3L-03630_r",-781.141049632554,520.791743604632,-260.349306027922,0.843639085221609,"r","C3L-03630","PAAD"
"C3N-01166_r",1469.29015014834,1953.22339577477,3422.51354592311,0.44701343708878,"r","C3N-01166","PAAD"
"C3N-04126_r",393.153895494081,1245.41712840129,1638.57102389537,0.663349416116095,"r","C3N-04126","PAAD"
"C3L-02610_r",-239.312605130755,-620.142354843429,-859.454959974184,0.887534973450168,"r","C3L-02610","PAAD"
"C3N-03853_r",-1264.74514171416,-1600.17063293526,-2864.91577464942,0.98303712598869,"r","C3N-03853","PAAD"
"C3N-03000_r",1086.19681191408,-1957.45042249926,-871.25361058518,0.888331600511428,"r","C3N-03000","PAAD"
"C3N-04283_r",-1198.1786448894,-1596.58546078418,-2794.76410567358,0.981096419117913,"r","C3N-04283","PAAD"
"C3L-04495_r",1133.80893190306,214.342232952337,1348.15116485539,0.694637726322065,"r","C3L-04495","PAAD"
"C3L-01689_r",512.212396363457,-1026.17828615666,-513.965889793199,0.863038023702206,"r","C3L-01689","PAAD"
"C3N-02768_r",-930.606413047625,-1339.43835340406,-2270.04476645168,0.963297013872017,"r","C3N-02768","PAAD"
"C3N-03430_r",2000.05286021506,1390.78022399021,3390.83308420528,0.451168430415964,"r","C3N-03430","PAAD"
"C3N-01388_r",1966.84618611952,981.740887862285,2948.5870739818,0.508111513391963,"r","C3N-01388","PAAD"
"C3L-03388_r",27.2489334057714,-821.085386423924,-793.836453018152,0.883056003884866,"r","C3L-03388","PAAD"
