,breast,STAD,colon,HNSC,ovary,Renal,LUSC,LUAD,UCEC,PRAD,PAAD,PedBrain,GBM,HCC
FAM3C,0.387,0.4042,0.4279,0.4673,0.5991,0.3705,0.8049,0.8014,0.6211,-0.0558,0.5787,0.4087,0.4788,0.5665
ACAA2,0.6536,0.4335,0.6551,0.65,0.6998,0.6591,0.8268,0.7069,0.8664,0.405,0.4018,0.4623,0.7706,0.814
PPIE,0.1496,0.1818,0.0712,0.3274,0.2931,0.1064,0.2239,0.1798,0.259,-0.0459,-0.0237,0.1958,0.2089,0.3098
VAV3,0.5496,0.0288,,0.2801,0.256,-0.049,0.5543,0.3375,0.4663,,0.2987,,0.8021,0.2478
TOMM40,0.2909,0.4655,0.3202,0.481,0.5201,0.3091,0.6094,0.6077,0.3987,0.1825,0.4859,0.3695,0.3814,0.3906
TAB1,0.1745,0.0616,0.0768,0.2247,0.2474,0.1371,0.127,0.1321,0.3005,-0.1846,0.0234,0.1305,0.1587,0.3219
ECI2,0.7954,0.2002,0.5908,0.6934,0.648,0.3995,0.7866,0.7595,0.8445,0.1804,0.6404,0.5099,0.6106,0.8507
HAX1,0.4724,0.1193,0.1739,0.3523,0.2075,0.0726,0.429,0.3481,0.3523,0.1121,0.1464,0.1242,0.2882,0.3762
GPNMB,0.4695,0.5982,0.4416,0.8777,0.6603,0.8109,0.8566,0.5356,0.7774,0.4847,0.6237,0.734,0.8957,0.598
BAIAP2,0.7109,0.499,0.5037,0.8343,0.688,0.5238,0.8751,0.7939,0.9035,0.5241,0.6486,0.6742,0.3353,0.8212
MAD2L2,0.3899,,,0.3089,,,0.439,0.3736,0.4217,,0.1069,,0.6674,0.603
TACC3,0.7206,0.3388,0.1876,0.7165,0.6982,0.4853,0.7397,0.8543,0.8441,,0.5318,0.1938,0.6474,0.7666
MERTK,-0.0012,-0.1576,,,0.2467,0.5014,0.647,0.2361,0.3789,,0.1682,,0.7079,0.5413
SLC30A9,0.3236,0.1171,0.0397,0.3721,0.4783,0.3084,0.4859,0.4274,0.1438,0.1502,0.2117,0.155,0.3097,0.4978
PIBF1,0.4082,0.1714,,0.3401,0.2553,0.3491,0.5218,0.5539,0.4438,,0.3663,,0.2883,0.249
PPIH,0.3616,0.4057,0.1359,0.5636,0.2549,0.3631,0.6844,0.4002,0.6296,-0.2259,0.3533,0.6829,0.6599,0.41
COG5,0.2209,0.2249,0.2581,0.3374,0.2411,0.4419,0.3035,-0.0321,0.2055,0.0679,0.3405,0.31,0.4778,0.1832
ZNHIT1,0.0643,,,0.0154,,0.1358,0.0274,-0.0631,0.0132,,0.1169,,-0.0955,0.0865
FST,0.5573,,,0.7857,,,0.8775,0.6049,,,0.7476,,0.7714,0.6147
TIMM44,0.5023,0.2677,0.2127,0.6528,0.7162,0.4454,0.8105,0.6219,0.516,-0.0134,0.3693,0.4424,0.6086,0.3644
PFDN6,0.0745,0.2784,0.1225,0.2635,0.1398,0.242,0.3855,0.3035,0.3563,0.0275,0.1089,0.0788,0.0725,0.1238
HMGN4,0.0822,0.0339,-0.0856,0.4411,0.325,0.369,0.2599,0.0558,0.269,0.1935,-0.1791,0.0719,0.1825,0.2111
TADA3,0.1341,0.011,,0.3426,0.1343,0.4094,0.1716,0.072,0.2845,,0.2134,,0.1283,0.1778
TRIM38,0.655,0.4022,0.3092,0.8356,0.574,0.6788,0.8553,0.6588,0.5756,0.3308,0.5044,,0.9035,0.7072
